,open,prev,close,volume,time
sh600111,38.66,38.9,38.18,26264633.0,15:00:02
sh600115,3.48,3.51,3.47,117245582.0,15:00:03
sh600118,57.68,58.36,58.73,24588650.0,15:00:03
sh600157,1.57,1.57,1.57,430233419.0,15:00:02
sh600176,42.0,42.67,43.46,197414117.0,15:00:03
sh600177,8.33,8.32,8.34,24867361.0,15:00:04
sh600183,145.02,148.16,146.96,58353960.0,15:00:04
sh600188,22.05,22.15,21.75,41284927.0,15:00:01
sh600233,16.79,16.8,17.59,35899446.0,15:00:02
sh600258,11.85,11.87,11.72,21228508.0,15:00:02
sh600276,44.45,44.71,42.93,103781432.0,15:00:02
sh600309,78.99,78.87,77.15,24683269.0,15:00:01
sh600315,18.9,18.96,18.62,6453220.0,15:00:01
sh600316,34.16,34.16,33.86,9603341.0,15:00:04
sh600340,1.08,1.08,1.08,30459765.0,15:00:02
sh600398,6.0,6.03,6.0,59092896.0,15:00:01
sh600406,22.4,22.45,22.49,22210338.0,15:00:02
sh600438,11.65,11.71,11.5,22210217.0,15:00:03
sh600487,65.01,66.62,63.91,146400016.0,15:00:02
sh600489,25.75,25.89,25.38,48308759.0,15:00:02
sh600510,6.86,6.9,6.75,4202458.0,15:00:04
sh600519,1291.0,1290.88,1285.13,1890022.0,15:00:03
sh600522,33.7,34.12,33.3,127855123.0,15:00:04
sh600528,6.99,7.03,7.06,10527400.0,15:00:04
sh600536,32.32,32.54,32.02,10137996.0,15:00:01
sh600547,36.0,36.25,35.59,48507928.0,15:00:01
sh600585,17.81,17.86,17.65,17925866.0,15:00:04
sh600588,9.63,9.7,9.53,32009464.0,15:00:03
sh600598,13.93,13.92,13.45,50689663.0,15:00:02
sh600674,15.86,15.84,16.01,20383000.0,15:00:02
sh600688,2.96,2.96,2.91,70368000.0,15:00:01
sh600690,21.33,21.3,21.17,27579751.0,15:00:04
sh600703,12.72,12.85,12.62,72024320.0,15:00:02
sh600754,19.49,19.6,19.7,19846115.0,15:00:04
