date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,115.05,117.23,112.98,116.5,4697294.0,544044972.0,277039475.0,0.01695532378553634
2025-12-02,117.37,117.77,113.27,115.02,4676680.0,536773782.0,277039475.0,0.01688091561680876
2025-12-03,114.28,114.77,112.33,112.89,3141032.0,355760786.0,277039475.0,0.011337849958024934
2025-12-04,113.37,113.71,110.98,112.77,2616564.0,294037378.0,277039475.0,0.009444733462622971
2025-12-05,112.88,113.12,110.4,112.42,3728153.0,417097040.0,277039475.0,0.013457118340265408
2025-12-08,112.59,114.57,112.43,113.16,3452678.0,392853054.0,277039475.0,0.01246276545968765
2025-12-09,112.98,114.82,110.99,112.24,3869044.0,436415044.0,277039475.0,0.013965677634929102
2025-12-10,111.82,113.1,109.96,112.52,3055970.0,341269943.0,277039475.0,0.011030810681401992
2025-12-11,112.82,113.08,110.46,110.53,2688215.0,299656060.0,277039475.0,0.009703364475405535
2025-12-12,110.58,115.42,110.38,114.57,5824342.0,662052484.0,277039475.0,0.021023509375333604
2025-12-15,113.68,114.53,111.49,112.51,3534756.0,399288851.0,277039475.0,0.012759033708102429
2025-12-16,112.68,113.18,109.68,109.94,3096718.0,342168893.0,277039475.0,0.011177894413783451
2025-12-17,109.88,112.84,109.68,112.38,3790460.0,422496027.0,277039475.0,0.013682021307613292
2025-12-18,112.2,113.75,111.28,112.18,2793203.0,315281686.0,277039475.0,0.010082328520150423
2025-12-19,112.27,113.61,110.6,110.8,3447187.0,384677692.0,277039475.0,0.012442945179563309
2025-12-22,111.2,111.68,109.88,110.66,3645164.0,403626331.0,277039475.0,0.013157561751804504
2025-12-23,112.68,113.37,107.88,108.68,5388894.0,590138214.0,277039475.0,0.019451718929224798
2025-12-24,107.86,109.86,107.01,109.41,2947309.0,322051215.0,277039475.0,0.0106385885982494
2025-12-25,108.91,111.88,108.72,110.61,2517810.0,278780062.0,277039475.0,0.009088271626272754
2025-12-26,110.69,116.02,110.38,113.27,4812733.0,548063846.0,277039475.0,0.017372011696167127
2025-12-29,113.3,115.03,111.88,113.03,4538620.0,515315636.0,277039475.0,0.01638257508248599
2025-12-30,113.09,114.48,112.68,113.27,3055767.0,347799036.0,277039475.0,0.011030077933839573
2025-12-31,113.28,116.47,113.12,115.03,5665043.0,652412264.0,277039723.0,0.02044848637103207
2026-01-05,115.87,120.3,114.97,119.95,7804903.0,923121665.0,277039723.0,0.028172505067080217
2026-01-06,120.79,121.37,118.27,120.17,6753601.0,811068039.0,277039723.0,0.024377735174099927
2026-01-07,120.17,121.99,118.98,120.87,5816315.0,703659500.0,277039723.0,0.02099451637121367
2026-01-08,124.31,124.36,120.57,122.22,5560644.0,680444785.0,277039723.0,0.020071648714433635
2026-01-09,121.65,133.85,121.43,133.25,12544819.0,1613135369.0,277039723.0,0.045281661648210646
2026-01-12,139.75,153.8,138.54,151.83,24946710.0,3602143697.0,277039723.0,0.09004741172080943
2026-01-13,159.03,165.1,150.83,151.39,28684934.0,4522698451.0,277039723.0,0.10354087020221284
2026-01-14,154.83,164.77,152.43,154.83,23784714.0,3773008210.0,277039723.0,0.08585308179794852
2026-01-15,158.83,166.7,155.83,158.39,23225954.0,3724894693.0,277039723.0,0.08383618691388887
2026-01-16,149.98,161.97,149.98,151.86,17569767.0,2732019062.0,277039723.0,0.06341966707785078
2026-01-19,149.16,151.16,141.1,142.46,15753965.0,2286776404.0,277039723.0,0.056865365115889896
2026-01-20,144.83,145.31,137.93,140.37,10802884.0,1520292111.0,277039723.0,0.03899398932044124
2026-01-21,138.49,141.84,136.99,139.06,8457787.0,1180419485.0,277039723.0,0.030529149063580317
2026-01-22,140.99,166.87,140.89,166.87,24615003.0,3827823996.0,277039723.0,0.08885008522766968
2026-01-23,161.48,169.69,156.84,167.06,22671841.0,3725206750.0,277039723.0,0.08183606579768346
2026-01-26,175.91,181.8,168.08,173.24,21574358.0,3752794095.0,277039723.0,0.07787460139786524
2026-01-27,173.21,182.6,169.69,180.49,21057869.0,3737732385.0,277039723.0,0.0760102875211148
2026-01-28,186.97,187.79,174.32,175.32,21070213.0,3798334089.0,277039723.0,0.07605484430837378
2026-01-29,171.17,182.1,168.61,169.35,19281475.0,3383720673.0,277039723.0,0.06959823230836829
2026-01-30,166.31,168.5,154.64,160.49,17398888.0,2776255993.0,277039723.0,0.06280286383335722
2026-02-02,160.47,161.7,143.44,144.06,19484942.0,2908865585.0,277039723.0,0.07033266489369107
2026-02-03,146.83,150.21,142.56,149.82,15185576.0,2227962136.0,277039723.0,0.05481371348324659
2026-02-04,145.83,146.34,138.1,142.54,14198336.0,2011626336.0,277039723.0,0.051250181187915786
2026-02-05,138.87,141.68,138.13,139.34,8085755.0,1128997051.0,277039723.0,0.02918626582657968
2026-02-06,137.65,140.35,133.93,136.13,9745942.0,1335173188.0,277039723.0,0.03517886133606912
2026-02-09,139.86,142.58,136.6,141.29,11846926.0,1661357053.0,277039723.0,0.04276255358514057
2026-02-10,141.89,147.03,139.95,143.37,12467750.0,1799106706.0,277039723.0,0.04500347410468642
2026-02-11,143.72,150.25,143.72,146.74,12566669.0,1849873443.0,277039723.0,0.0453605312044006
2026-02-12,149.83,157.51,147.87,154.56,17512480.0,2687733014.0,277039723.0,0.0632128844570062
2026-02-13,151.51,155.98,145.95,146.35,14444913.0,2160808363.0,277039723.0,0.052140223227121835
