date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,4.43,4.46,4.41,4.46,18304497.0,83171290.0,2894001038.0,0.006324979417647327
2025-12-02,4.45,4.46,4.42,4.45,15650943.0,71236337.0,2894001038.0,0.005408064058890638
2025-12-03,4.45,4.49,4.44,4.47,19007311.0,87020524.0,2894001038.0,0.0065678314383520965
2025-12-04,4.48,4.49,4.44,4.46,13820133.0,63201065.0,2894001038.0,0.004775441618207188
2025-12-05,4.46,4.49,4.43,4.48,15438168.0,70480782.0,2894001038.0,0.005334541279456168
2025-12-08,4.48,4.49,4.44,4.44,17185275.0,78436965.0,2894001038.0,0.005938240786491383
2025-12-09,4.43,4.45,4.39,4.39,15331585.0,69340988.0,2894001038.0,0.005297712336204075
2025-12-10,4.39,4.43,4.37,4.41,15073030.0,67967715.0,2894001038.0,0.005208370626714336
2025-12-11,4.41,4.42,4.35,4.36,16087816.0,72220092.0,2894001038.0,0.005559022194103304
2025-12-12,4.37,4.37,4.33,4.34,19807766.0,88261478.0,2894001038.0,0.006844422562366752
2025-12-15,4.33,4.38,4.32,4.35,14651928.0,65381580.0,2894001038.0,0.005062862040341811
2025-12-16,4.34,4.37,4.31,4.35,18121962.0,80503680.0,2894001038.0,0.006261905839717256
2025-12-17,4.34,4.39,4.33,4.38,14974921.0,66857376.0,2894001038.0,0.005174469809571644
2025-12-18,4.37,4.4,4.36,4.39,13708045.0,61655546.0,2894001038.0,0.004736710464165355
2025-12-19,4.38,4.44,4.37,4.43,15738417.0,71255942.0,2894001038.0,0.005438290032845524
2025-12-22,4.43,4.46,4.42,4.43,12367841.0,56255613.0,2894001038.0,0.0042736131872804116
2025-12-23,4.44,4.45,4.39,4.4,11640940.0,52690222.0,2894001038.0,0.004022438087321792
2025-12-24,4.4,4.42,4.39,4.41,12251133.0,55364038.0,2894001038.0,0.004233285627453186
2025-12-25,4.43,4.47,4.43,4.45,12435438.0,56705503.0,2894001038.0,0.0042969708153919465
2025-12-26,4.44,4.46,4.42,4.43,12524592.0,57011820.0,2894001038.0,0.004327777300541521
2025-12-29,4.42,4.44,4.4,4.4,12798712.0,57912726.0,2894001038.0,0.004422497377141577
2025-12-30,4.4,4.41,4.34,4.35,17608820.0,78801579.0,2894001038.0,0.0060845935328928515
2025-12-31,4.35,4.38,4.35,4.36,9962946.0,44579231.0,2894001038.0,0.0034426200506428428
2026-01-05,4.36,4.38,4.35,4.38,13152415.0,58889221.0,2894001038.0,0.004544716752793369
2026-01-06,4.39,4.44,4.38,4.43,23843084.0,107743361.0,2894001038.0,0.008238795939229377
2026-01-07,4.43,4.45,4.4,4.42,19779940.0,89684077.0,2894001038.0,0.006834807500162341
2026-01-08,4.42,4.44,4.4,4.44,14296086.0,64865565.0,2894001038.0,0.004939903549543924
2026-01-09,4.45,4.49,4.44,4.48,19497128.0,89224009.0,2894001038.0,0.006737083969214527
2026-01-12,4.46,4.52,4.46,4.51,22820456.0,104908964.0,2894001038.0,0.007885434628513772
2026-01-13,4.51,4.56,4.49,4.53,30452175.0,141407509.0,2894001038.0,0.01052251695840615
2026-01-14,4.53,4.59,4.48,4.51,32192979.0,149872291.0,2894001038.0,0.011124038511834149
2026-01-15,4.52,4.52,4.49,4.51,13812472.0,63746463.0,2894001038.0,0.004772794418050931
2026-01-16,4.51,4.52,4.47,4.49,14848440.0,68340858.0,2894001038.0,0.0051307652640862665
2026-01-19,4.47,4.52,4.46,4.5,13128214.0,60565839.0,2894001038.0,0.00453635428170845
2026-01-20,4.51,4.58,4.5,4.58,26742320.0,124501614.0,2894001038.0,0.009240604840446502
2026-01-21,4.57,4.57,4.53,4.56,17491038.0,81552467.0,2894001038.0,0.006043894860551878
2026-01-22,4.55,4.65,4.55,4.65,29061460.0,137376599.0,2894001038.0,0.010041965990476607
2026-01-23,4.65,4.67,4.62,4.63,21857911.0,103886819.0,2894001038.0,0.007552834540482981
2026-01-26,4.63,4.68,4.6,4.65,26040737.0,123881789.0,2894001038.0,0.008998178182408794
2026-01-27,4.64,4.67,4.58,4.64,24597759.0,116478643.0,2894001038.0,0.008499568133188763
2026-01-28,4.63,4.74,4.63,4.7,35940511.0,173193520.0,2894001038.0,0.012418969629961826
2026-01-29,4.69,4.74,4.66,4.72,23610921.0,113901336.0,2894001038.0,0.008158573784174296
2026-01-30,4.72,4.75,4.63,4.72,25381907.0,121898444.0,2894001038.0,0.008770524497648782
2026-02-02,4.7,4.72,4.57,4.58,23350395.0,110947503.0,2894001038.0,0.008068551010657931
2026-02-03,4.76,4.83,4.63,4.69,38229811.0,184462878.0,2894001038.0,0.013210019795438649
2026-02-04,4.67,4.73,4.63,4.7,27756853.0,133461037.0,2894001038.0,0.009591168985613888
2026-02-05,4.72,4.74,4.68,4.7,20758540.0,100087436.0,2894001038.0,0.007172955271068565
2026-02-06,4.69,4.74,4.65,4.66,22495631.0,108120796.0,2894001038.0,0.0077731938256478264
2026-02-09,4.68,4.69,4.65,4.67,15989124.0,76387264.0,2894001038.0,0.00552491992575436
2026-02-10,4.66,4.67,4.63,4.65,12628561.0,60060244.0,2894001038.0,0.004363702996018068
2026-02-11,4.65,4.7,4.64,4.68,14757878.0,70655088.0,2894001038.0,0.005099472255268763
2026-02-12,4.67,4.69,4.62,4.65,15774406.0,75144966.0,2894001038.0,0.005450725757479843
