date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,3.09,3.23,3.09,3.21,158383217.0,506332079.0,4801856148.0,0.032983748808461805
2025-12-02,3.19,3.2,3.06,3.07,210486991.0,655970975.0,4801856148.0,0.04383450576454045
2025-12-03,3.07,3.09,3.06,3.07,76212327.0,235635396.0,4801856148.0,0.015871430682433678
2025-12-04,3.08,3.13,3.05,3.08,77713797.0,241232770.0,4801856148.0,0.016184116017796207
2025-12-05,3.07,3.08,3.03,3.08,86559743.0,266462052.0,4801856148.0,0.01802630906301777
2025-12-08,3.08,3.09,3.05,3.08,85704633.0,264725525.0,4801856148.0,0.017848230009076066
2025-12-09,3.07,3.08,3.02,3.03,80289518.0,245849705.0,4801856148.0,0.01672051713449205
2025-12-10,3.02,3.04,3.0,3.02,58013742.0,176339051.0,4801856148.0,0.012081524354735834
2025-12-11,3.03,3.03,2.98,2.99,67427264.0,203454548.0,4801856148.0,0.014041916692586436
2025-12-12,3.0,3.02,2.98,3.01,64371855.0,194665227.0,4801856148.0,0.013405619205567255
2025-12-15,3.0,3.05,2.99,3.02,62767655.0,191398469.0,4801856148.0,0.01307154005980439
2025-12-16,3.01,3.02,2.95,2.96,85422790.0,255374535.0,4801856148.0,0.0177895354144624
2025-12-17,2.95,3.02,2.94,3.0,82125522.0,245955405.0,4801856148.0,0.017102870112884524
2025-12-18,3.0,3.04,2.99,3.02,61889949.0,188201237.0,4801856148.0,0.012888755325537503
2025-12-19,3.01,3.05,3.01,3.03,73144804.0,223217366.0,4801856148.0,0.015232610420965072
2025-12-22,3.03,3.07,3.03,3.05,67840993.0,208566965.0,4801856148.0,0.014128076916309988
2025-12-23,3.06,3.06,3.02,3.03,60501825.0,184909136.0,4801856148.0,0.012599674612326599
2025-12-24,3.02,3.02,2.99,3.02,71837934.0,217596286.0,4801856148.0,0.014960451080968117
2025-12-25,3.02,3.03,3.0,3.02,53163722.0,161537750.0,4801856148.0,0.011071494097577869
2025-12-26,3.02,3.04,3.01,3.01,59183226.0,180129449.0,4801856148.0,0.012325072675209178
2025-12-29,3.02,3.05,3.0,3.03,72363791.0,220735569.0,4801856148.0,0.015069962274929858
2025-12-30,3.04,3.05,3.0,3.03,77493625.0,236071364.0,4680344678.0,0.016557247453218446
2025-12-31,3.03,3.04,2.99,3.0,71210311.0,215637688.0,4680344678.0,0.015214757864890736
2026-01-05,3.03,3.08,3.02,3.05,110598402.0,339413760.0,4680344678.0,0.023630396820958237
2026-01-06,3.05,3.17,3.03,3.13,191437274.0,601452686.0,4680344678.0,0.04090238800143343
2026-01-07,3.12,3.16,3.07,3.07,136292544.0,425560691.0,4680344678.0,0.029120193784155313
2026-01-08,3.14,3.28,3.14,3.19,264257122.0,853266688.0,4680344678.0,0.05646103870130396
2026-01-09,3.26,3.28,3.17,3.2,165958867.0,535244063.0,4680344678.0,0.035458684865687574
2026-01-12,3.22,3.28,3.19,3.24,172776748.0,561342135.0,4680344678.0,0.036915389760104333
2026-01-13,3.25,3.27,3.21,3.24,150977611.0,492251122.0,4680344678.0,0.032257797531380875
2026-01-14,3.26,3.43,3.25,3.31,311392407.0,1052539747.0,4680344678.0,0.0665319390821156
2026-01-15,3.28,3.37,3.27,3.34,158641896.0,532180083.0,4680344678.0,0.03389534466247701
2026-01-16,3.31,3.32,3.21,3.22,180686831.0,591374029.0,4680344678.0,0.038605453963533924
2026-01-19,3.22,3.33,3.21,3.31,141840819.0,469409293.0,4680344678.0,0.03030563532355298
2026-01-20,3.3,3.34,3.24,3.33,153598077.0,509400063.0,4680344678.0,0.032817684928631234
2026-01-21,3.31,3.41,3.27,3.37,160621405.0,542287155.0,4680344678.0,0.034318285521791225
2026-01-22,3.37,3.46,3.36,3.39,146746132.0,503145804.0,4680344678.0,0.03135370193776143
2026-01-23,3.37,3.42,3.35,3.4,124773531.0,426251755.0,4680344678.0,0.026659047481374404
2026-01-26,3.42,3.58,3.39,3.56,269687326.0,948623879.0,4680344678.0,0.0576212532524939
2026-01-27,3.53,3.65,3.47,3.56,232667062.0,835526585.0,4680344678.0,0.049711522976855424
2026-01-28,3.56,3.68,3.5,3.63,252193496.0,915694683.0,4680344678.0,0.05388353066931965
2026-01-29,3.64,3.76,3.63,3.67,247134690.0,914218233.0,4680344678.0,0.05280266882087952
2026-01-30,3.68,3.81,3.58,3.67,215826499.0,796396478.0,4680344678.0,0.046113377079789505
2026-02-02,3.58,3.62,3.43,3.47,216175730.0,764901838.0,4680344678.0,0.0461879935928941
2026-02-03,3.51,3.57,3.47,3.56,168425623.0,596867035.0,4680344678.0,0.03598573066459957
2026-02-04,3.56,3.7,3.55,3.67,164571612.0,602575682.0,4680344678.0,0.035162284686760414
2026-02-05,3.66,3.67,3.53,3.57,126618640.0,456354309.0,4680344678.0,0.02705327250686728
2026-02-06,3.53,3.64,3.47,3.59,122947251.0,440737717.0,4680344678.0,0.026268845450189725
2026-02-09,3.63,3.71,3.61,3.67,153576560.0,565516474.0,4680344678.0,0.032813087617646605
2026-02-10,3.65,3.73,3.57,3.68,143059564.0,526108011.0,4680344678.0,0.030566031743869782
2026-02-11,3.67,3.7,3.64,3.66,84030875.0,310600158.0,4680344678.0,0.01795399287471024
2026-02-12,3.7,3.98,3.7,3.84,257575326.0,1000551981.0,4680344678.0,0.05503340965692869
2026-02-13,3.81,3.82,3.51,3.52,286620267.0,1031216927.0,4680344678.0,0.06123913658480347
2026-02-24,3.8,3.87,3.78,3.87,268452690.0,1039041042.0,4680344678.0,0.057357461569414785
2026-02-25,3.87,4.26,3.87,4.05,704793627.0,2933266852.0,4680344678.0,0.15058583832786684
2026-02-26,3.99,4.21,3.99,4.0,433061694.0,1769354806.0,4680344678.0,0.0925277354113705
2026-02-27,3.97,4.2,3.97,4.09,272257256.0,1119649452.0,4680344678.0,0.05817034315437227
2026-03-02,4.5,4.5,4.17,4.5,698277555.0,3056821730.0,4680344678.0,0.14919361778679668
2026-03-03,4.94,4.94,4.78,4.94,341890268.0,1696385767.0,4680344678.0,0.07304809613852974
2026-03-04,5.37,5.37,4.55,5.19,1166070717.0,5875137898.0,4680344678.0,0.24914206051556959
2026-03-05,5.19,5.29,4.76,4.91,916775494.0,4550467584.0,4680344678.0,0.19587777334205983
2026-03-06,4.61,4.77,4.45,4.61,652039090.0,3000753809.0,4680344678.0,0.13931433149889907
2026-03-09,4.83,4.95,4.26,4.3,708186501.0,3240423830.0,4680344678.0,0.15131075801507454
2026-03-10,4.19,4.57,4.09,4.31,530678679.0,2320548852.0,4680344678.0,0.11338452945452066
2026-03-11,4.22,4.36,4.12,4.32,375376076.0,1592203715.0,4680344678.0,0.08020265639076934
2026-03-12,4.32,4.58,4.2,4.52,500134077.0,2208924818.0,4680344678.0,0.10685838574045294
2026-03-13,4.41,4.5,4.32,4.35,303022810.0,1333262337.0,4680344678.0,0.0647436953573871
2026-03-16,4.34,4.79,4.31,4.79,553075905.0,2572568624.0,4680344678.0,0.11816990906668434
2026-03-17,4.78,5.11,4.68,4.9,624080336.0,3100333211.0,4680344678.0,0.13334067871827793
2026-03-18,4.88,5.07,4.6,4.97,501108762.0,2479135311.0,4680344678.0,0.10706663642860878
2026-03-19,4.99,5.06,4.61,4.66,466184294.0,2213607992.0,4680344678.0,0.09960469283198377
2026-03-20,4.62,4.72,4.5,4.5,287044123.0,1323099220.0,4680344678.0,0.06132969743644167
2026-03-23,4.51,4.67,4.3,4.37,309637268.0,1391813994.0,4680344678.0,0.06615693699984375
2026-03-24,4.44,4.81,4.39,4.81,341276160.0,1588084176.0,4680344678.0,0.07291688614391403
2026-03-25,4.86,4.91,4.53,4.62,555759378.0,2643071226.0,4680344678.0,0.11874325850665479
2026-03-26,4.56,4.61,4.39,4.42,311583204.0,1396083021.0,4680344678.0,0.06657270466950853
2026-03-27,4.43,4.54,4.37,4.43,272619039.0,1217795911.0,4680344678.0,0.05824764152124268
2026-03-30,4.43,4.49,4.21,4.44,301748616.0,1321499466.0,4680344678.0,0.06447145173268369
2026-03-31,4.47,4.52,4.22,4.28,228085297.0,993359433.0,4680344678.0,0.04873258545938227
2026-04-01,4.3,4.64,4.3,4.49,347315388.0,1577862801.0,4680344678.0,0.07420722444493436
2026-04-02,4.38,4.93,4.38,4.78,604098733.0,2918003310.0,4680344678.0,0.129071419854946
2026-04-03,4.88,5.25,4.88,5.06,555953919.0,2834990260.0,4680344678.0,0.11878482403513274
2026-04-07,5.19,5.33,5.07,5.2,377044510.0,1970967483.0,4680344678.0,0.08055913312801533
2026-04-08,4.69,5.28,4.69,5.08,477101996.0,2442925436.0,4680344678.0,0.10193736334048686
2026-04-09,5.16,5.2,4.81,4.95,309560294.0,1543967453.0,4680344678.0,0.06614049077519671
2026-04-10,4.94,4.96,4.74,4.76,267562742.0,1290472540.0,4680344678.0,0.05716731574443244
2026-04-13,4.85,4.89,4.47,4.61,331344565.0,1520510698.0,4680344678.0,0.07079490674212263
2026-04-14,4.6,4.72,4.5,4.56,280589275.0,1288287077.0,4680344678.0,0.05995055798324262
2026-04-15,4.52,4.62,4.46,4.5,196313693.0,891723415.0,4680344678.0,0.04194428113868925
2026-04-16,4.47,4.51,4.33,4.35,202546458.0,891148772.0,4680344678.0,0.043275970454071756
2026-04-17,4.35,4.35,4.23,4.3,189958178.0,817103080.0,4680344678.0,0.04058636512240221
2026-04-20,4.3,4.4,4.26,4.38,184229293.0,801943378.0,4680344678.0,0.03936233454471235
2026-04-21,4.36,4.57,4.34,4.52,278378243.0,1246555705.0,4680344678.0,0.05947815004064109
2026-04-22,4.45,4.58,4.39,4.49,208687335.0,935126441.0,4680344678.0,0.04458802702735476
