date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,9.33,9.57,9.32,9.39,7122919.0,71119644.0,469144502.99999994,0.015182782606322045
2025-12-02,9.39,9.43,9.34,9.4,3462416.0,34407223.0,469144502.99999994,0.007380276179000653
2025-12-03,9.4,9.51,9.36,9.47,4010200.0,40127262.0,469144502.99999994,0.008547899366519915
2025-12-04,9.47,9.52,9.38,9.38,2942600.0,29365074.0,469144502.99999994,0.006272267885871404
2025-12-05,9.38,9.41,9.29,9.34,3820267.0,37766428.0,469144502.99999994,0.008143049690598208
2025-12-08,9.38,9.54,9.26,9.34,6530000.0,64612944.0,469144502.99999994,0.013918952387256258
2025-12-09,9.26,9.36,9.21,9.3,4695601.0,46248927.0,469144502.99999994,0.01000885861386721
2025-12-10,9.27,9.3,9.21,9.25,4011567.0,39331291.0,469144502.99999994,0.00855081318090175
2025-12-11,9.28,9.29,8.94,8.98,11431562.0,109850335.0,469144502.99999994,0.024366824990806727
2025-12-12,9.0,9.11,8.77,8.85,11142600.0,105458079.0,469144502.99999994,0.023750891098046185
2025-12-15,8.83,8.93,8.75,8.87,6151980.0,57739573.0,469144502.99999994,0.013113187857175001
2025-12-16,8.92,8.94,8.81,8.85,4497700.0,42228881.0,469144502.99999994,0.009587024831877866
2025-12-17,8.85,8.9,8.73,8.87,5382900.0,50255157.0,469144502.99999994,0.011473863523026297
2025-12-18,8.84,9.02,8.83,8.97,4622004.0,43869073.0,469144502.99999994,0.009851983707459109
2025-12-19,8.96,9.04,8.94,8.99,6195800.0,59008053.0,469144502.99999994,0.01320659191438933
2025-12-22,9.04,9.08,8.85,8.95,10513400.0,99999295.0,469144502.99999994,0.022409726497424187
2025-12-23,8.92,9.02,8.91,8.95,5239700.0,49728730.0,469144502.99999994,0.011168627078638072
2025-12-24,8.94,8.96,8.87,8.94,4503000.0,42548091.0,469144502.99999994,0.009598321990783297
2025-12-25,8.96,8.99,8.9,8.94,5627637.0,53320430.0,469144502.99999994,0.011995530085108981
2025-12-26,8.93,8.99,8.88,8.93,4865300.0,46003832.0,469144502.99999994,0.010370578721243166
2025-12-29,8.93,8.93,8.87,8.88,5016837.0,47244318.0,469144502.99999994,0.010693585809743573
2025-12-30,8.88,8.88,8.74,8.78,6570300.0,61159864.0,469144502.99999994,0.01400485342572585
2025-12-31,8.77,8.91,8.77,8.9,4826501.0,45258324.0,469144502.99999994,0.01028787712343717
2026-01-05,8.9,8.91,8.78,8.81,8592163.0,80230264.0,469144502.99999994,0.018314534104218207
2026-01-06,8.83,8.96,8.81,8.91,10923701.0,102890561.0,469144502.99999994,0.02328429925139718
2026-01-07,8.91,8.91,8.82,8.84,6250000.0,58567839.0,469144502.99999994,0.013322121350742974
2026-01-08,8.84,8.86,8.77,8.79,6263800.0,58352501.0,469144502.99999994,0.013351536594685414
2026-01-09,8.82,8.83,8.77,8.8,5337909.0,49730100.0,469144502.99999994,0.011377963433155691
2026-01-12,8.82,8.87,8.8,8.87,6819216.0,63827151.0,469144502.99999994,0.014535427691028495
2026-01-13,8.87,8.89,8.79,8.82,7693000.0,72076935.0,469144502.99999994,0.01639793272820251
2026-01-14,8.84,8.85,8.7,8.74,10608100.0,98680884.0,469144502.99999994,0.022611583280130645
2026-01-15,8.75,8.81,8.71,8.81,4510710.0,41928491.0,469144502.99999994,0.009614756159681574
2026-01-16,8.8,8.88,8.8,8.85,5880900.0,55045079.0,469144502.99999994,0.012535370152253497
2026-01-19,8.83,8.98,8.82,8.97,7246800.0,68437804.0,469144502.99999994,0.015446839840730269
2026-01-20,8.97,9.09,8.95,9.09,8429400.0,80789225.0,469144502.99999994,0.01796759835423245
2026-01-21,9.1,9.1,8.99,9.06,5334700.0,51075980.0,469144502.99999994,0.011371123323169367
2026-01-22,9.08,9.15,9.04,9.13,4271776.0,41230989.0,469144502.99999994,0.009105458920830626
2026-01-23,9.11,9.15,9.04,9.09,5459000.0,52455599.0,469144502.99999994,0.011636073672592942
2026-01-26,9.12,9.12,8.98,9.1,6762900.0,64823905.0,469144502.99999994,0.014415387917270345
2026-01-27,9.09,9.09,8.93,9.02,5322040.0,50708100.0,469144502.99999994,0.0113441380341613
2026-01-28,9.02,9.06,8.95,9.01,5529900.0,52822559.0,469144502.99999994,0.011787199817195771
