date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,3.68,3.69,3.64,3.68,48001375.0,183381773.0,5925928614.000001,0.008100228356885163
2025-12-02,3.67,3.72,3.66,3.71,50919056.0,196405805.0,5925928614.000001,0.008592586802295217
2025-12-03,3.71,3.74,3.69,3.73,51031368.0,198369322.0,5925928614.000001,0.008611539443698062
2025-12-04,3.72,3.75,3.72,3.75,30281458.0,118320249.0,5925928614.000001,0.005109993719542973
2025-12-05,3.74,3.75,3.71,3.73,33045714.0,128392417.0,5925928614.000001,0.005576461707947263
2025-12-08,3.73,3.74,3.69,3.69,31671838.0,122407693.0,5925928614.000001,0.005344620238113451
2025-12-09,3.69,3.72,3.68,3.68,26964960.0,103994518.0,5925928614.000001,0.004550334935911193
2025-12-10,3.68,3.74,3.67,3.72,36328380.0,140402356.0,5925928614.000001,0.006130411344168783
2025-12-11,3.73,3.73,3.66,3.67,40369438.0,155095237.0,5925928614.000001,0.0068123395723376145
2025-12-12,3.68,3.74,3.62,3.73,89630240.0,344120126.0,5925928614.000001,0.015125096139067325
2025-12-15,3.72,3.8,3.69,3.78,78082229.0,305478186.0,5925928614.000001,0.013176370166783786
2025-12-16,3.77,3.79,3.73,3.76,56339512.0,221088341.0,5925928614.000001,0.009507288337375167
2025-12-17,3.76,3.77,3.74,3.74,34865667.0,136603220.0,5925928614.000001,0.005883578637385184
2025-12-18,3.74,3.76,3.72,3.73,30655869.0,119540805.0,5925928614.000001,0.005173175547132906
2025-12-19,3.73,3.74,3.7,3.71,29441882.0,114176673.0,5925928614.000001,0.0049683153338100595
2025-12-22,3.71,3.73,3.69,3.7,37314834.0,144315385.0,5925928614.000001,0.0062968753811586155
2025-12-23,3.7,3.72,3.67,3.68,36924588.0,142070276.0,5925928614.000001,0.0062310213985308045
2025-12-24,3.67,3.71,3.66,3.7,31986652.0,123339280.0,5925928614.000001,0.005397745076515361
2025-12-25,3.7,3.74,3.7,3.72,34668534.0,134724563.0,5925928614.000001,0.0058503124587251385
2025-12-26,3.72,3.73,3.7,3.72,24217195.0,93984376.0,5925928614.000001,0.004086649802494566
2025-12-29,3.71,3.74,3.69,3.72,33277286.0,129032124.0,5925928614.000001,0.005615539465221103
2025-12-30,3.71,3.76,3.68,3.71,53856531.0,209148559.0,5925928614.000001,0.0090882854836901
2025-12-31,3.72,3.74,3.67,3.68,35711286.0,138007725.0,5925928614.000001,0.006026276778905524
2026-01-05,3.69,3.7,3.66,3.69,43221698.0,166001766.0,5925928614.000001,0.007293658229005456
2026-01-06,3.69,3.75,3.68,3.75,49850740.0,194192263.0,5925928614.000001,0.008412308559071682
2026-01-07,3.75,3.75,3.71,3.74,41306272.0,161093093.0,5925928614.000001,0.006970430238125712
2026-01-08,3.74,3.74,3.71,3.72,26654239.0,103684493.0,5925928614.000001,0.004497900790945977
2026-01-09,3.72,3.75,3.72,3.74,30030609.0,117384346.0,5925928614.000001,0.00506766296999473
2026-01-12,3.74,3.81,3.74,3.8,46440687.0,183187839.0,5925928614.000001,0.007836862376351264
2026-01-13,3.81,3.83,3.78,3.81,38862116.0,154464046.0,5925928614.000001,0.006557979100218704
2026-01-14,3.8,3.81,3.75,3.76,43414668.0,171656795.0,5925928614.000001,0.0073262219017341665
2026-01-15,3.75,3.8,3.75,3.79,29758377.0,117734080.0,5925928614.000001,0.005021723840833293
2026-01-16,3.78,3.8,3.77,3.79,26149264.0,103497691.0,5925928614.000001,0.004412686298350336
2026-01-19,3.77,3.84,3.77,3.84,39969533.0,159104498.0,5925928614.000001,0.0067448556341991725
2026-01-20,3.84,4.04,3.83,4.01,150999556.0,626799692.0,5925928614.000001,0.02548116351642571
2026-01-21,3.98,3.99,3.86,3.88,88301312.0,358925815.0,5925928614.000001,0.014900839640792876
2026-01-22,3.88,3.89,3.84,3.87,45740642.0,184398734.0,5925928614.000001,0.007718729836187661
2026-01-23,3.89,4.03,3.87,4.02,88843804.0,369050644.0,5925928614.000001,0.0149923851242667
2026-01-26,4.02,4.1,3.96,4.08,68856209.0,290677186.0,5925928614.000001,0.011619479998008627
2026-01-27,4.07,4.15,4.05,4.08,68321655.0,293093742.0,5925928614.000001,0.011529274051427172
2026-01-28,4.08,4.19,4.08,4.15,67775937.0,292722933.0,5925928614.000001,0.01143718418070029
2026-01-29,4.14,4.21,4.12,4.19,59601299.0,259995283.0,5925928614.000001,0.010057714643944914
2026-01-30,4.19,4.26,4.1,4.1,78215176.0,339473711.0,5925928614.000001,0.013198804962857082
2026-02-02,4.12,4.15,4.04,4.07,99406928.0,425312717.0,5925928614.000001,0.016774911490690457
2026-02-03,4.07,4.17,4.06,4.1,60412727.0,259574288.0,5925928614.000001,0.010194643056832474
2026-02-04,4.12,4.19,4.08,4.19,75458854.0,327336922.0,5925928614.000001,0.012733675836345468
2026-02-05,4.17,4.21,4.12,4.14,43324995.0,188366776.0,5925928614.000001,0.007311089589848372
2026-02-06,4.12,4.14,4.07,4.09,38614104.0,165265288.0,5925928614.000001,0.006516127094203297
2026-02-09,4.09,4.12,4.05,4.08,42920406.0,183037099.0,5925928614.000001,0.0072428152270684765
2026-02-10,4.09,4.09,4.05,4.06,25110836.0,106578484.0,5925928614.000001,0.004237451652838961
2026-02-11,4.07,4.08,4.04,4.05,30828391.0,130699245.0,5925928614.000001,0.005202288621426852
2026-02-12,4.06,4.1,4.03,4.05,33358235.0,141569185.0,5925928614.000001,0.005629199602774694
2026-02-13,4.06,4.06,3.96,3.97,31415568.0,131099163.0,5925928614.000001,0.0053013746952301705
2026-02-24,3.99,4.02,3.97,3.99,26297018.0,109777114.0,5925928614.000001,0.0044376197745402
2026-02-25,3.99,4.07,3.98,3.99,29115122.0,122428489.0,5925928614.000001,0.004913174608822582
2026-02-26,4.0,4.07,3.99,4.05,35741422.0,150427434.0,5925928614.000001,0.006031362226598701
2026-02-27,4.08,4.16,4.05,4.15,40072298.0,172431931.0,5925928614.000001,0.006762197220082812
2026-03-02,4.14,4.16,4.05,4.1,40136998.0,171799277.0,5925928614.000001,0.006773115340130217
2026-03-03,4.1,4.17,4.06,4.07,45704274.0,195620789.0,5925928614.000001,0.007712592738971525
2026-03-04,4.04,4.09,4.0,4.03,47258951.0,199685227.0,5925928614.000001,0.007974944363715548
2026-03-05,4.04,4.06,4.01,4.03,28825266.0,121282349.0,5925928614.000001,0.004864261431010211
2026-03-06,4.02,4.07,3.98,4.05,35845780.0,151065089.0,5925928614.000001,0.0060489726311104015
2026-03-09,4.04,4.07,3.98,3.99,35200934.0,147543669.0,5925928614.000001,0.005940154917971476
2026-03-10,4.0,4.12,3.98,4.11,46584316.0,197004372.0,5925928614.000001,0.007861099759106885
2026-03-11,4.1,4.16,4.07,4.15,44520924.0,191487988.0,5925928614.000001,0.007512902517053506
2026-03-12,4.13,4.22,4.11,4.21,47040503.0,205126354.0,5925928614.000001,0.007938081280437104
2026-03-13,4.19,4.23,4.16,4.19,47498437.0,208103386.0,5925928614.000001,0.008015357607883597
2026-03-16,4.19,4.21,4.15,4.19,37370932.0,163470502.0,5925928614.000001,0.006306341914364477
2026-03-17,4.19,4.24,4.18,4.21,30144171.0,132808195.0,5925928614.000001,0.005086826548801891
2026-03-18,4.2,4.22,4.17,4.19,27361223.0,119693703.0,5925928614.000001,0.004617204286828419
2026-03-19,4.17,4.22,4.16,4.17,26185720.0,114723242.0,5925928614.000001,0.004418838245559735
2026-03-20,4.17,4.26,4.15,4.19,41768891.0,183881469.0,5925928614.000001,0.007048497158963581
2026-03-23,4.19,4.19,4.02,4.04,44372219.0,189789807.0,5925928614.000001,0.007487808559686438
2026-03-24,4.08,4.11,4.05,4.1,30248742.0,128810495.0,5925928614.000001,0.005104472897047287
2026-03-25,4.09,4.18,4.07,4.15,31342244.0,134951166.0,5925928614.000001,0.005289001275842908
2026-03-26,4.14,4.19,4.13,4.14,21834064.0,94623378.0,5925928614.000001,0.0036844966286662725
2026-03-27,4.13,4.17,4.09,4.09,36007254.0,154736131.0,5925928614.000001,0.006076221356250039
2026-03-30,4.15,4.44,4.13,4.39,101276321.0,460181240.0,5925928614.000001,0.017090371416343893
2026-03-31,4.39,4.52,4.38,4.49,75587629.0,354203346.0,5925928614.000001,0.012755406607738119
2026-04-01,4.49,4.59,4.42,4.55,96739458.0,455212882.0,5925928614.000001,0.016324776132377483
2026-04-02,4.55,4.6,4.46,4.52,77904524.0,368419100.0,5925928614.000001,0.013146382461636583
2026-04-03,4.52,4.59,4.49,4.51,61078270.0,290048731.0,5925928614.000001,0.010306953387137104
2026-04-07,4.51,4.57,4.48,4.51,48292251.0,228438620.0,5925928614.000001,0.008149313659619456
2026-04-08,4.5,4.55,4.42,4.48,56509652.0,264246522.0,5925928614.000001,0.009535999449351448
2026-04-09,4.46,4.6,4.45,4.52,41337562.0,194837260.0,5925928614.000001,0.006975710423230554
2026-04-10,4.51,4.58,4.49,4.55,40001608.0,189725751.0,5925928614.000001,0.006750268287993925
2026-04-13,4.58,4.62,4.46,4.62,45616870.0,217352662.0,5925928614.000001,0.007697843320662046
2026-04-14,4.6,4.63,4.5,4.53,44517235.0,211471493.0,5925928614.000001,0.007512279998585888
2026-04-15,4.53,4.64,4.51,4.6,40732799.0,195402774.0,5925928614.000001,0.006873656713273393
2026-04-16,4.6,4.63,4.55,4.62,31838750.0,152852776.0,5925928614.000001,0.005372786625336826
2026-04-17,4.6,4.71,4.6,4.65,32042176.0,155861964.0,5925928614.000001,0.0054071147472651605
2026-04-20,4.65,4.73,4.6,4.62,38972719.0,188854676.0,5925928614.000001,0.006576643348002368
2026-04-21,4.59,4.69,4.59,4.66,46592754.0,226315394.0,5925928614.000001,0.00786252367096098
2026-04-22,4.64,4.72,4.64,4.64,26710402.0,130172454.0,5925928614.000001,0.004507378292896863
2026-04-23,4.64,4.71,4.63,4.7,37230508.0,182103847.0,5925928614.000001,0.0062826453751135235
2026-04-24,4.7,4.74,4.62,4.65,32549734.0,158336442.0,5925928614.000001,0.005492765120913081
2026-04-27,4.66,4.68,4.59,4.62,27444938.0,132428669.0,5925928614.000001,0.0046313311866702815
2026-04-28,4.6,4.69,4.6,4.68,28121538.0,136649787.0,5925928614.000001,0.0047455073848785305
2026-04-29,4.65,4.68,4.45,4.53,62523334.0,295141229.0,5925928614.000001,0.010550807826521683
2026-04-30,4.54,4.58,4.4,4.45,56642336.0,263596643.0,5925928614.000001,0.009558389864194876
2026-05-06,4.45,4.51,4.4,4.45,55815856.0,259667261.0,5925928614.000001,0.009418921427459502
2026-05-07,4.46,4.57,4.45,4.54,47432604.0,224087899.0,5925928614.000001,0.008004248294172919
2026-05-08,4.54,4.69,4.53,4.63,40550412.0,195277342.0,5925928614.000001,0.006842878920984585
2026-05-11,4.61,4.64,4.47,4.61,47382943.0,225541341.0,5925928614.000001,0.007995868004224324
2026-05-12,4.59,4.69,4.51,4.55,54810783.0,262886909.0,5925928614.000001,0.0092493154356449
2026-05-13,4.56,4.62,4.49,4.54,41105622.0,194902336.0,5925928614.000001,0.006936570565984883
2026-05-14,4.53,4.56,4.48,4.5,37433770.0,176539513.0,5925928614.000001,0.006316945822054412
2026-05-15,4.5,4.5,4.33,4.39,47219067.0,216523005.0,5925928614.000001,0.007968213941768552
2026-05-18,4.39,4.41,4.25,4.31,44955213.0,202406684.0,5925928614.000001,0.007586188752559953
2026-05-19,4.27,4.42,4.24,4.42,55880692.0,252980398.0,5925928614.000001,0.009429862497496496
2026-05-20,4.4,4.53,4.37,4.45,58630742.0,272330267.0,5925928614.000001,0.009893933224488213
2026-05-21,4.46,4.51,4.42,4.43,44539713.0,207717047.0,5925928614.000001,0.007516073159365263
2026-05-22,4.44,4.47,4.41,4.44,40336962.0,186957697.0,5925928614.000001,0.006806859249823558
2026-05-25,4.45,4.5,4.39,4.5,33604688.0,156464604.0,5925928614.000001,0.005670788527659438
2026-05-26,4.47,4.54,4.44,4.53,52984284.0,249365745.0,5925928614.000001,0.008941093869208055
2026-05-27,4.53,4.55,4.35,4.38,40444718.0,178898574.0,5925928614.000001,0.006825043066575151
2026-05-28,4.38,4.44,4.37,4.38,33664836.0,148088099.0,5925928614.000001,0.0056809384980552845
2026-05-29,4.39,4.44,4.34,4.39,50291954.0,221128884.0,5925928614.000001,0.008486763387798042
2026-06-01,4.36,4.4,4.21,4.32,62839660.0,269193129.0,5925928614.000001,0.010604187814807852
2026-06-02,4.32,4.41,4.3,4.32,50270934.0,218801293.0,5925928614.000001,0.00848321626440706
2026-06-03,4.34,4.41,4.23,4.34,70372552.0,305516078.0,5925928614.000001,0.011875362763187007
2026-06-04,4.34,4.42,4.26,4.29,46772524.0,202967527.0,5925928614.000001,0.007892859844700112
2026-06-05,4.3,4.41,4.28,4.31,39784982.0,173187114.0,5925928614.000001,0.006713712667076012
2026-06-08,4.29,4.3,4.16,4.21,38061242.0,160743877.0,5925928614.000001,0.006422831674023266
2026-06-09,4.22,4.28,4.17,4.25,29978922.0,127160267.0,5925928614.000001,0.0050589407927012185
2026-06-10,4.25,4.29,4.22,4.26,32346634.0,137391925.0,5925928614.000001,0.005458492011459792
2026-06-11,4.26,4.27,4.16,4.2,32683580.0,136984229.0,5925928614.000001,0.005515351623167561
2026-06-12,4.2,4.25,4.14,4.23,50673110.0,212695927.0,5925928614.000001,0.008551083433621664
2026-06-15,4.23,4.31,4.22,4.31,45471608.0,194612305.0,5925928614.000001,0.0076733303692814265
2026-06-16,4.31,4.35,4.25,4.27,31258656.0,134159397.0,5925928614.000001,0.005274895807241325
2026-06-17,4.25,4.31,4.24,4.3,25036216.0,107175636.0,5925928614.000001,0.004224859533550904
2026-06-18,4.29,4.29,4.16,4.17,33026264.0,138787224.0,5925928614.000001,0.005573179521936103
2026-06-22,4.17,4.17,4.04,4.09,36569762.0,149242301.0,5925928614.000001,0.006171144538191697
2026-06-23,4.1,4.2,4.08,4.14,31292509.0,129853633.0,5925928614.000001,0.005280608498399977
2026-06-24,4.15,4.19,4.11,4.14,30538110.0,126746870.0,5925928614.000001,0.005153303724897014
2026-06-25,4.14,4.18,4.09,4.12,25118243.0,103852781.0,5925928614.000001,0.004238701583521977
2026-06-26,4.12,4.14,4.05,4.09,33194590.0,136016074.0,5925928614.000001,0.00560158452155124
2026-06-29,4.08,4.22,3.97,4.19,41497429.0,170703517.0,5925928614.000001,0.0070026879672432036
2026-06-30,4.16,4.24,4.14,4.15,38165420.0,159531536.0,5925928614.000001,0.006440411703548745
2026-07-01,4.16,4.23,4.11,4.19,42436224.0,176733046.0,5925928614.000001,0.007161109551631193
2026-07-02,4.18,4.29,4.17,4.29,35872916.0,152429810.0,5925928614.000001,0.00605355182903322
2026-07-03,4.28,4.32,4.2,4.21,28456254.0,120985992.0,5925928614.000001,0.004801990684257
2026-07-06,4.23,4.23,4.12,4.19,36909642.0,153982453.0,5925928614.000001,0.0062284992621748775
2026-07-07,4.19,4.21,4.08,4.18,37651900.0,155661146.0,5925928614.000001,0.006353755242857199
2026-07-08,4.14,4.23,4.11,4.2,31013764.0,130018485.0,5925928614.000001,0.005233570300987091
2026-07-09,4.2,4.24,4.11,4.2,36011461.0,150028003.0,5925928614.000001,0.006076931287178005
2026-07-10,4.18,4.21,4.13,4.16,24559996.0,102398850.0,5925928614.000001,0.004144497445004152
2026-07-13,4.15,4.23,4.13,4.2,34011784.0,142606449.0,5925928614.000001,0.00573948594649743
2026-07-14,4.2,4.35,4.17,4.33,35627598.0,153008818.0,5925928614.000001,0.006012154435311595
2026-07-15,4.33,4.38,4.3,4.36,28017939.0,121572349.0,5925928614.000001,0.004728025061558731
2026-07-16,4.36,4.42,4.31,4.34,27615385.0,119857804.0,5925928614.000001,0.0046600941048730625
2026-07-17,4.35,4.51,4.32,4.47,56491913.0,251396173.0,5925928614.000001,0.009533005994459318
2026-07-20,4.46,4.59,4.46,4.56,53484332.0,241233127.0,5925928614.000001,0.009025476930930844
2026-07-21,4.53,4.72,4.52,4.55,69593580.0,321226923.0,5925928614.000001,0.011743911297815034
2026-07-22,4.56,4.64,4.52,4.64,46498189.0,213043192.0,5925928614.000001,0.007846565834449655
2026-07-23,4.62,4.7,4.6,4.66,37622966.0,175563275.0,5925928614.000001,0.006348872632572012
2026-07-24,4.67,4.74,4.64,4.65,42852270.0,200985489.0,5925928614.000001,0.007231317282284088
2026-07-27,4.65,4.72,4.65,4.68,43886688.0,205651405.0,5925928614.000001,0.007405875240602417
2026-07-28,4.7,4.7,4.55,4.65,48607170.0,224235152.0,5925928614.000001,0.008202456216763328
2026-07-29,4.62,4.81,4.6,4.77,55062046.0,261616623.0,5925928614.000001,0.009291716047661453
2026-07-30,4.81,4.95,4.77,4.91,63958571.0,310530238.0,5925928614.000001,0.01079300396040849
2026-07-31,4.86,4.95,4.74,4.85,78405418.0,379101942.0,5925928614.000001,0.013230908285794613
2026-08-03,4.85,5.03,4.83,4.95,72138197.0,357167490.0,5925928614.000001,0.012173315221782046
2026-08-04,4.96,4.96,4.76,4.79,55282539.0,265983341.0,5925928614.000001,0.00932892422453336
2026-08-05,4.78,4.83,4.71,4.75,52044093.0,247477561.0,5925928614.000001,0.008782436709926926
2026-08-06,4.77,4.77,4.69,4.74,37438568.0,177210430.0,5925928614.000001,0.00631775548418714
2026-08-07,4.72,4.76,4.66,4.67,34351004.0,161309440.0,5925928614.000001,0.005796729295531131
2026-08-10,4.67,4.7,4.61,4.64,40194545.0,187208030.0,5925928614.000001,0.006782826391975162
2026-08-11,4.65,4.69,4.6,4.63,38608077.0,179077043.0,5925928614.000001,0.006515110038414647
