,name,open,prev,close,high,upper_limit,time,date
002600,领益智造,12.59,12.47,12.54,12.65,13.72,11:48:30,2026-09-18
002624,完美世界,9.94,9.89,9.91,9.98,10.88,11:49:00,2026-09-18
002642,荣联科技,6.96,6.93,7.03,7.19,7.62,11:49:12,2026-09-18
002648,卫星化学,26.39,26.34,26.36,26.63,28.97,11:49:15,2026-09-18
002707,众信旅游,5.0,5.0,5.14,5.25,5.5,11:49:03,2026-09-18
002714,牧原股份,40.98,41.28,41.36,41.66,45.41,11:49:09,2026-09-18
002837,英维克,62.53,61.75,62.45,62.86,67.93,11:49:18,2026-09-18
002896,中大力德,61.33,60.88,61.25,61.86,66.97,11:48:45,2026-09-18
002906,华阳集团,27.98,27.92,27.68,28.08,30.71,11:49:21,2026-09-18
002916,深南电路,389.01,383.68,385.83,391.35,422.05,11:48:42,2026-09-18
002920,德赛西威,85.15,84.43,85.04,85.17,92.87,11:48:39,2026-09-18
002938,鹏鼎控股,92.78,90.71,90.1,93.55,99.78,11:48:45,2026-09-18
002984,森麒麟,12.85,12.87,12.87,12.96,14.16,11:49:24,2026-09-18
300002,神州泰岳,8.08,8.04,8.02,8.11,9.65,11:49:21,2026-09-18
300014,亿纬锂能,51.28,48.23,50.73,51.85,57.88,11:49:24,2026-09-18
300015,爱尔眼科,7.98,7.95,8.02,8.04,9.54,11:49:21,2026-09-18
300045,华力创通,11.47,11.4,11.71,11.78,13.68,11:48:45,2026-09-18
300070,碧水源,3.39,3.38,3.38,3.42,4.06,11:48:54,2026-09-18
300124,汇川技术,52.0,51.59,52.43,52.49,61.91,11:49:21,2026-09-18
300129,泰胜风能,7.45,7.42,7.71,7.9,8.9,11:49:12,2026-09-18
300133,华策影视,7.11,7.12,7.2,7.23,8.54,11:49:24,2026-09-18
300136,信维通信,58.8,57.62,59.24,59.28,69.14,11:49:00,2026-09-18
300144,宋城演艺,5.72,5.73,5.78,5.8,6.88,11:49:21,2026-09-18
300166,东方国信,12.07,11.87,12.15,12.16,14.24,11:48:42,2026-09-18
300168,万达信息,4.67,4.64,4.69,4.75,5.57,11:48:39,2026-09-18
300223,君正股份,138.5,135.06,145.45,146.5,162.07,11:49:18,2026-09-18
300224,正海磁材,11.3,11.17,11.35,11.38,13.4,11:48:51,2026-09-18
300249,依米康,13.77,13.22,13.42,13.87,15.86,11:49:03,2026-09-18
300251,光线传媒,10.96,10.95,11.06,11.15,13.14,11:49:15,2026-09-18
300253,卫宁健康,6.74,6.69,6.8,6.9,8.03,11:48:42,2026-09-18
300272,开能健康,5.7,5.64,5.7,5.77,6.77,11:49:21,2026-09-18
300274,阳光电源,85.5,84.67,86.41,87.39,101.6,11:49:24,2026-09-18
300290,ST荣科,7.2,7.38,7.18,7.4,8.86,11:49:06,2026-09-18
300296,利亚德,4.89,4.87,4.9,4.92,5.84,11:48:45,2026-09-18
300308,中际旭创,910.0,896.0,920.76,921.0,1075.2,11:49:24,2026-09-18
300319,麦捷科技,21.4,21.01,21.42,21.67,25.21,11:49:21,2026-09-18
300347,泰格医药,57.01,57.01,57.56,59.39,68.41,11:48:36,2026-09-18
300364,中文在线,24.0,24.3,24.52,24.58,29.16,11:48:42,2026-09-18
300369,绿盟科技,7.99,7.9,8.51,8.62,9.48,11:49:12,2026-09-18
300394,天孚通信,283.67,277.65,288.0,292.07,333.18,11:49:18,2026-09-18
300408,三环集团,130.99,128.01,129.81,130.99,153.61,11:49:15,2026-09-18
300413,芒果超媒,17.7,18.14,18.04,18.36,21.77,11:48:42,2026-09-18
300433,蓝思科技,33.72,33.44,33.33,33.9,40.13,11:49:12,2026-09-18
300442,润泽科技,63.62,62.24,63.27,63.77,74.69,11:49:18,2026-09-18
300454,深信服,137.48,137.47,144.76,146.58,164.96,11:49:09,2026-09-18
300476,胜宏科技,228.66,222.9,228.1,231.12,267.48,11:49:24,2026-09-18
300496,中科创达,55.0,54.47,55.62,55.66,65.36,11:48:45,2026-09-18
300498,温氏股份,14.58,14.63,14.74,14.8,17.56,11:49:12,2026-09-18
300499,高澜股份,39.1,38.26,37.62,39.12,45.91,11:48:36,2026-09-18
300502,新易盛,435.01,424.34,442.94,443.5,509.21,11:49:18,2026-09-18
300624,万兴科技,50.36,50.09,50.62,50.95,60.11,11:48:27,2026-09-18
300662,科锐国际,21.31,21.23,21.15,21.39,25.48,11:48:48,2026-09-18
300699,光威复材,23.43,23.28,23.57,23.71,27.94,11:49:12,2026-09-18
300750,宁德时代,309.77,304.3,301.68,310.0,365.16,11:49:12,2026-09-18
300760,迈瑞医疗,156.85,156.8,157.01,157.99,188.16,11:49:18,2026-09-18
300763,锦浪科技,55.6,54.95,56.14,56.2,65.94,11:48:33,2026-09-18
300856,科思股份,10.43,10.38,10.47,10.55,12.46,11:49:06,2026-09-18
300957,贝泰妮,31.65,31.61,31.61,31.97,37.93,11:48:54,2026-09-18
301018,申菱环境,107.4,104.14,104.66,107.5,124.97,11:49:09,2026-09-18
301308,江波龙,342.26,335.09,347.87,348.78,402.11,11:48:57,2026-09-18
600004,白云机场,7.6,7.6,7.62,7.66,8.36,11:49:08,2026-09-18
600008,首创环保,2.73,2.73,2.75,2.76,3.0,11:49:25,2026-09-18
600009,上海机场,22.52,22.47,22.69,22.78,24.72,11:49:21,2026-09-18
600011,华能国际,6.77,6.77,6.81,6.86,7.45,11:49:20,2026-09-18
600019,宝钢股份,5.72,5.72,5.74,5.77,6.29,11:49:01,2026-09-18
600026,中远海能,21.52,22.09,21.96,22.3,24.3,11:49:15,2026-09-18
600028,中国石化,5.13,5.14,5.11,5.16,5.65,11:48:56,2026-09-18
600029,南方航空,4.87,4.86,4.92,4.95,5.35,11:49:01,2026-09-18
600030,中信证券,26.28,26.16,26.49,26.6,28.78,11:49:25,2026-09-18
600031,三一重工,18.07,18.07,17.87,18.12,19.88,11:49:18,2026-09-18
600036,招商银行,40.53,40.6,40.62,40.92,44.66,11:49:00,2026-09-18
600038,中直股份,27.3,27.01,27.07,27.3,29.71,11:49:24,2026-09-18
600048,保利发展,5.03,5.04,5.06,5.07,5.54,11:49:22,2026-09-18
600050,中国联通,4.2,4.2,4.24,4.29,4.62,11:49:18,2026-09-18
600089,特变电工,17.98,17.91,18.06,18.18,19.7,11:49:18,2026-09-18
600111,北方稀土,36.96,36.73,36.96,37.05,40.4,11:49:23,2026-09-18
600115,中国东航,3.35,3.35,3.39,3.43,3.69,11:49:09,2026-09-18
600118,中国卫星,57.77,57.39,58.92,59.61,63.13,11:49:11,2026-09-18
600157,永泰能源,1.52,1.52,1.52,1.53,1.67,11:49:12,2026-09-18
600176,中国巨石,48.0,47.15,44.94,48.48,51.87,11:49:21,2026-09-18
600177,XD雅戈尔,8.12,8.1,8.14,8.23,8.91,11:49:12,2026-09-18
600183,生益科技,149.0,146.03,144.07,149.6,160.63,11:49:04,2026-09-18
600188,兖矿能源,19.95,20.15,19.76,20.2,22.17,11:49:10,2026-09-18
600233,圆通速递,17.77,17.57,18.3,18.7,19.33,11:49:21,2026-09-18
600258,首旅酒店,11.24,11.24,11.41,11.55,12.36,11:49:21,2026-09-18
600276,恒瑞医药,43.52,43.23,43.84,44.15,47.55,11:49:23,2026-09-18
600309,万华化学,70.33,70.33,70.24,70.96,77.36,11:49:10,2026-09-18
600315,上海家化,17.78,17.75,17.96,18.2,19.53,11:49:22,2026-09-18
600316,洪都航空,32.45,32.34,32.3,32.69,35.57,11:49:10,2026-09-18
600340,*ST华幸,1.07,1.07,1.08,1.09,1.18,11:49:20,2026-09-18
600398,海澜之家,5.76,5.76,5.75,5.8,6.34,11:49:05,2026-09-18
600406,国电南瑞,21.98,21.95,22.09,22.12,24.15,11:49:25,2026-09-18
600438,通威股份,11.19,11.09,11.19,11.29,12.2,11:49:10,2026-09-18
600487,亨通光电,70.0,68.49,69.37,70.94,75.34,11:49:02,2026-09-18
600489,中金黄金,24.5,23.9,23.7,24.56,26.29,11:48:59,2026-09-18
600510,黑牡丹,6.4,6.38,6.49,6.49,7.02,11:49:14,2026-09-18
600519,贵州茅台,1262.99,1266.98,1257.2,1265.88,1393.68,11:49:06,2026-09-18
600522,中天科技,36.9,36.39,35.9,36.9,40.03,11:49:07,2026-09-18
600528,中铁工业,6.8,6.8,6.84,6.86,7.48,11:49:07,2026-09-18
600536,中国软件,31.23,31.07,31.67,31.85,34.18,11:49:11,2026-09-18
600547,山东黄金,33.5,32.86,32.36,33.55,36.15,11:48:58,2026-09-18
600585,海螺水泥,16.98,16.94,16.94,17.03,18.63,11:49:04,2026-09-18
600588,用友网络,9.4,9.35,9.44,9.51,10.29,11:49:21,2026-09-18
600598,北大荒,12.37,12.57,12.65,12.75,13.83,11:48:56,2026-09-18
600674,川投能源,15.87,15.92,15.84,15.98,17.51,11:49:22,2026-09-18
600688,上海石化,2.77,2.77,2.79,2.81,3.05,11:49:06,2026-09-18
600690,海尔智家,20.66,20.7,20.92,21.06,22.77,11:48:57,2026-09-18
600703,三安光电,13.0,12.84,12.98,13.05,14.12,11:49:14,2026-09-18
600754,锦江酒店,18.34,18.34,18.53,18.68,20.17,11:49:01,2026-09-18
600760,中航沈飞,44.05,44.0,44.06,44.37,48.4,11:48:59,2026-09-18
600795,国电电力,5.26,5.26,5.26,5.35,5.79,11:49:15,2026-09-18
600801,华新建材,23.96,24.2,24.24,24.39,26.62,11:49:15,2026-09-18
600808,马钢股份,2.53,2.53,2.57,2.58,2.78,11:49:21,2026-09-18
600809,山西汾酒,112.5,113.08,112.83,113.3,124.39,11:49:13,2026-09-18
