date,position,target_weight,actual_weight,market_close,market_ma20,market_risk_ma_period,market_risk_ma,market_defensive_ma_period,market_defensive_ma,market_defensive,market_bear_ma_period,market_bear_ma,market_bear_ma_slope_ref,bear_confirmed,bear_entry_lock,market_above_ma20,regime_state,mainline_rise,mainline_streak,non_mainline_streak,market_below_ma20_streak,market_ma20_exit,position_close,position_ma20,position_ma10,position_daily_return,position_peak_close,position_drawdown,cycle_entry_nav,losing_cycle_streak,position_rs20,position_score,top_candidate,top_rs20,top_score,candidate_count,top_changes_in_window,fast_rotation,effective_switch_margin,switch_confirm_streak,signal,next_position,signal_reason,weak_ma10_streak,post_exit_cooldown_days,position_allocation_mode,daily_gain_pause_threshold,entry_pullback_reclaim_ma5,nav
2024-10-08,现金,0.0,0.0,3489.775,2859.4661,180,2965.296933333333,,,False,,,,False,False,True,MAINLINE_RISE,True,1,0,0,False,,,,,,,,0,,,机器人,1.6767164029713093,1.6767164029713093,55,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-09,现金,0.0,0.0,3258.858,2881.85725,180,2966.98865,,,False,,,,False,False,True,MAINLINE_RISE,True,2,0,0,False,,,,,,,,0,,,智能驾驶,1.641664145234493,1.641664145234493,49,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-10,现金,0.0,0.0,3301.926,2906.8046,180,2969.059444444444,,,False,,,,False,False,True,MAINLINE_RISE,True,3,0,0,False,,,,,,,,0,,,大数据,1.5722969401538733,1.5722969401538733,51,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-11,现金,0.0,0.0,3217.738,2928.4775999999997,180,2970.8938888888883,,,False,,,,False,False,True,MAINLINE_RISE,True,4,0,0,False,,,,,,,,0,,,CPO,1.5171153864717979,1.5171153864717979,51,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-14,现金,0.0,0.0,3284.323,2953.27805,180,2973.0665111111116,,,False,,,,False,False,True,MAINLINE_RISE,True,5,0,0,False,,,,,,,,0,,,大数据,1.5761683069126056,1.5761683069126056,53,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-15,现金,0.0,0.0,3201.292,2975.0523000000003,180,2974.864233333333,,,False,,,,False,False,True,MAINLINE_RISE,True,6,0,0,False,,,,,,,,0,,,大数据,1.6319492261174147,1.6319492261174147,45,0,False,0.07,0,CASH,,RESEARCH_POLICY_BLOCK_ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-16,现金,0.0,0.0,3202.948,2998.3753,180,2976.6214444444445,,,False,,,,False,False,True,MAINLINE_RISE,True,7,0,0,False,,,,,,,,0,,,大数据,1.6733057038075076,1.6733057038075076,23,0,False,0.07,0,BUY,大数据,ENTRY_TOP1,0,2,equal_capital,0.085,False,600000.0
2024-10-17,大数据,1.0,1.0,3169.384,3019.6349,180,2978.21815,,,False,,,,False,False,True,MAINLINE_RISE,True,8,0,0,False,109.114,86.8998,103.2586,-0.02786835587391534,109.114,0.0,600000.0,0,1.6005691486240687,1.6005691486240687,大数据,1.6005691486240687,1.6005691486240687,4,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,609655.1281154216
2024-10-18,大数据,1.0,1.0,3261.563,3046.6233,180,2980.3029944444443,,,False,,,,False,False,True,MAINLINE_RISE,True,9,0,0,False,111.30199999999999,89.0977,106.26379999999999,0.020052422237293088,111.30199999999999,0.0,600000.0,0,1.6527381800902827,1.6527381800902827,大数据,1.6527381800902827,1.6527381800902827,8,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,621172.1770226907
2024-10-21,大数据,1.0,1.0,3268.11,3074.17265,180,2982.381444444444,,,False,,,,False,False,True,MAINLINE_RISE,True,10,0,0,False,116.822,91.50460000000001,108.532,0.04959479614023121,116.822,0.0,600000.0,0,1.7008619183507077,1.7008619183507077,大数据,1.7008619183507077,1.7008619183507077,8,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,649935.443442568
2024-10-22,大数据,1.0,1.0,3285.867,3103.2614999999996,180,2984.8939555555557,,,False,,,,False,False,True,MAINLINE_RISE,True,11,0,0,False,109.602,93.61510000000001,108.6348,-0.061803427436612934,116.822,-0.061803427436612934,600000.0,0,1.62633547008547,1.62633547008547,大数据,1.62633547008547,1.62633547008547,29,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,0,2,equal_capital,0.085,False,616501.2851929783
2024-10-23,大数据,1.0,1.0,3302.803,3132.5376,180,2987.43295,,,False,,,,False,False,True,MAINLINE_RISE,True,12,0,0,False,108.452,95.7397,108.95419999999999,-0.010492509260779936,116.822,-0.07164746366266628,600000.0,0,1.6442086112795635,1.6442086112795635,大数据,1.6442086112795635,1.6442086112795635,35,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,1,2,equal_capital,0.085,False,612513.987622018
2024-10-24,大数据,1.0,1.0,3280.263,3159.7496499999997,180,2989.9217500000004,,,False,,,,False,False,True,MAINLINE_RISE,True,13,0,0,False,109.112,97.7235,109.1568,0.006085641574152589,116.822,-0.06599784287206178,600000.0,0,1.571403882712138,1.571403882712138,低空经济,1.6507626887215696,1.6507626887215696,47,0,False,0.07,0,HOLD,大数据,NO_STRONGER_QUALIFIED_SECTOR,2,2,equal_capital,0.085,False,615949.1325334158
2024-10-25,大数据,1.0,1.0,3299.7,3187.89395,180,2992.940416666667,,,False,,,,False,False,True,MAINLINE_RISE,True,14,0,0,False,111.556,99.7354,110.421,0.02239900285944718,116.822,-0.04507712588382329,600000.0,0,1.5642053899436323,1.5642053899436323,低空经济,1.8199752652996088,1.8199752652996088,42,0,False,0.07,1,HOLD,大数据,SWITCH_CONFIRM_1_OF_2,0,2,equal_capital,0.085,False,627947.595083502
