date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,20.24,20.49,19.78,20.04,68777239.0,1386225071.0,1018117834.0,0.06755331917700207
2025-12-02,19.81,20.14,19.57,19.69,49167480.0,977771655.0,1018117834.0,0.04829252406553955
2025-12-03,19.79,20.98,19.65,20.24,73008150.0,1487453524.0,1018117834.0,0.07170893934070896
2025-12-04,20.2,20.48,19.71,19.84,42155881.0,845143828.0,1018117834.0,0.041405699411410174
2025-12-05,19.79,20.32,19.52,19.64,53084508.0,1056568807.0,1018117834.0,0.0521398469089188
2025-12-08,19.61,21.0,19.45,20.66,75558827.0,1556580555.0,1018117834.0,0.07421422597337589
2025-12-09,20.65,21.1,20.41,20.74,60521002.0,1262018410.0,1018117834.0,0.05944400537826155
2025-12-10,20.41,20.77,19.8,20.11,55429347.0,1118220463.0,1018117834.0,0.05444295851515356
2025-12-11,20.17,20.84,19.87,19.89,55507809.0,1135622624.0,1018117834.0,0.0545200242509454
2025-12-12,19.8,20.17,19.11,19.76,52112286.0,1027511585.0,1018117834.0,0.0511849260072975
2025-12-15,19.46,21.74,19.07,21.74,93273865.0,1930660952.0,1018117834.0,0.09161401743994989
2025-12-16,21.33,21.78,20.61,20.97,90125853.0,1897464978.0,1018117834.0,0.08852202563421553
2025-12-17,20.97,22.99,20.7,22.84,119816173.0,2647636800.0,1018117834.0,0.11768399393345663
2025-12-18,22.64,23.55,22.38,22.38,93216937.0,2135686570.0,1018117834.0,0.09155810249759361
2025-12-19,22.77,22.89,21.81,21.91,74123631.0,1658884763.0,1018117834.0,0.07280456988832198
2025-12-22,21.98,24.1,21.97,24.09,117176774.0,2768619596.0,1018117834.0,0.11509156414600237
2025-12-23,24.77,26.5,24.7,26.5,69909668.0,1826026681.0,1018117834.0,0.06866559612784466
2025-12-24,27.87,29.15,27.31,28.89,211007759.0,6015096669.0,1018117834.0,0.2072527874018166
2025-12-25,28.86,29.58,28.3,29.32,128993196.0,3755294484.0,1018117834.0,0.12669770795901802
2025-12-26,29.52,29.85,27.33,28.12,133538698.0,3782438514.0,1018117834.0,0.13116232084389556
2025-12-29,28.07,28.21,27.08,27.64,84258284.0,2345260296.0,1018117834.0,0.08275887248626665
2025-12-30,27.66,27.93,26.82,26.96,86492055.0,2376684793.0,1018117834.0,0.0849528925941592
2025-12-31,27.14,28.0,26.88,26.96,81285307.0,2235030812.0,1018117834.0,0.07983880085927264
2026-01-05,27.26,27.85,26.83,27.45,79974576.0,2194262519.0,1018117834.0,0.07855139486732535
2026-01-06,27.47,27.74,26.26,26.66,92311175.0,2485663559.0,1018117834.0,0.0906684589123895
2026-01-07,26.62,27.8,26.31,27.43,88663796.0,2425216388.0,1018117834.0,0.08708598655192597
2026-01-08,27.6,28.22,26.91,27.07,66128746.0,1811701490.0,1018117834.0,0.06495195722109313
2026-01-09,27.07,27.7,26.12,27.52,69769002.0,1893439165.0,1018117834.0,0.06852743333833007
2026-01-12,27.07,27.7,26.57,27.37,74214998.0,2022247654.0,1018117834.0,0.07289431097422462
2026-01-13,27.01,27.46,25.87,25.99,66729805.0,1770694741.0,1018117834.0,0.06554232012401819
2026-01-14,25.97,26.77,25.77,26.07,55038612.0,1444437364.0,1018117834.0,0.054059176808408604
2026-01-15,26.09,28.68,26.09,28.68,142556043.0,4040111151.0,1018117834.0,0.1400191984064587
2026-01-16,29.67,29.8,27.31,28.02,97048644.0,2743967092.0,1018117834.0,0.09532162266396367
2026-01-19,27.97,29.52,27.97,28.57,69904878.0,2014138087.0,1018117834.0,0.06866089136790428
2026-01-20,28.86,29.09,25.71,26.66,102369862.0,2742843367.0,1018117834.0,0.10054814735717515
2026-01-21,26.35,27.42,26.34,27.37,56305554.0,1520662524.0,1018117834.0,0.05530357304398226
