code,name,role
600183,生益科技,覆铜板
002636,金安国纪,覆铜板
603186,华正新材,覆铜板
688519,南亚新材,覆铜板
000823,超声电子,覆铜板及PCB
002552,宝鼎科技,覆铜板及铜箔
603002,宏昌电子,树脂及覆铜板
301217,铜冠铜箔,铜箔
301511,德福科技,铜箔
301150,中一科技,铜箔
600110,诺德股份,铜箔
688388,嘉元科技,铜箔
603256,宏和科技,电子玻纤布
600176,中国巨石,玻纤及电子布
002080,中材科技,玻纤及电子布
301526,国际复材,玻纤及电子布
300196,长海股份,玻纤材料
601208,东材科技,电子树脂材料
688300,联瑞新材,硅微粉填料
688733,壹石通,电子填料
